Funeral Home,Manufacturer,Source,Construction,Model,Interior Color,Interior Fabric,Materials,Catalog Item #,Price,Date
McComas,Matthews,"McComas Family Funeral Homes | Abingdon, MD",Wood,PIETA,Rosetan,Crepe,Poplar,71006846,"$5,470",1/7/2024
DC Torchinsky,Thacker Caskets,Caskets | Torchinsky Hebrew Funeral Home,Wood,Gideon,n/a,Crepe,Poplar,420,"$3,050",6/1/2022
DC Torchinsky,Thacker Caskets,Caskets | Torchinsky Hebrew Funeral Home,Wood,Joseph,n/a,Crepe,Poplar,Tacoma-1,"$3,850",6/1/2022
DC Torchinsky,Thacker Caskets,Caskets | Torchinsky Hebrew Funeral Home,Wood,Obadiah,n/a,Crepe,Poplar,335,"$3,595",6/1/2022
DC Torchinsky,Thacker Caskets,Caskets | Torchinsky Hebrew Funeral Home,Wood,Samuel,n/a,Crepe,Poplar,413,"$3,195",6/1/2022
McComas,Matthews,"McComas Family Funeral Homes | Abingdon, MD",Wood,ABNER,Rosetan,Crepe,Poplar Veneer,71006942,"$3,535",1/7/2024
McComas,Matthews,"McComas Family Funeral Homes | Abingdon, MD",Wood,SANDHURST II,Rosetan,Crepe,Poplar Veneer,71006671,"$2,855",1/7/2024
Ponders,Batesville,https://www.pondersfuneralhome.com/fh_live/15500/15565/media/2022-Batesville-Wood-Caskets.pdf,Wood,Clifton,Rosetan,Crepe,Select Hardwood,263630,"$2,995",2/1/2022
Bradshaw Funeral Home,Batesville,www.bradshawfuneral.com,Wood,Clifton,n/a,Crepe,Select Hardwood,n/a,"$3,525",10/15/2023
Bradshaw Funeral Home,Batesville,www.bradshawfuneral.com,Wood,Clifton,n/a,Crepe,Select Hardwood,n/a,"$3,525",10/15/2023
Ponders,Batesville,https://www.pondersfuneralhome.com/fh_live/15500/15565/media/2022-Batesville-Wood-Caskets.pdf,Wood,Clifton 27,Rosetan,Crepe,Select Hardwood,278476,"$3,495",2/1/2022
Bradshaw Funeral Home,Batesville,www.bradshawfuneral.com,Wood,Edgemont,n/a,Crepe,Select Hardwood,n/a,"$4,395",10/15/2023
Ponders,Batesville,https://www.pondersfuneralhome.com/fh_live/15500/15565/media/2022-Batesville-Wood-Caskets.pdf,Wood,Hartwick,Champagne,Velvet,Select Hardwood,255186,"$4,595",2/1/2022
Ponders,Batesville,https://www.pondersfuneralhome.com/fh_live/15500/15565/media/2022-Batesville-Wood-Caskets.pdf,Wood,Montgomery Select,Rosetan,Crepe,Select Hardwood,249223,"$3,495",2/1/2022
Ponders,Batesville,https://www.pondersfuneralhome.com/fh_live/15500/15565/media/2022-Batesville-Wood-Caskets.pdf,Wood,Bailey,Khaki,Linwood,Select hardwood veneer,263781,"$3,995",2/1/2022
Ponders,Batesville,https://www.pondersfuneralhome.com/fh_live/15500/15565/media/2022-Batesville-Wood-Caskets.pdf,Wood,Branson,Saffron,Woven,Select hardwood veneer,246736,"$4,495",2/1/2022
Ponders,Batesville,https://www.pondersfuneralhome.com/fh_live/15500/15565/media/2022-Batesville-Wood-Caskets.pdf,Wood,Dryden Brown,Rosetan,Crepe,Select hardwood veneer,278271,"$2,495",2/1/2022
