Funeral Home,Manufacturer,Source,Construction,Model,Interior Color,Interior Fabric,Materials,Catalog Item #,Price,Date
Ponders,Batesville,https://www.pondersfuneralhome.com/fh_live/15500/15565/media/2022-Batesville-Metal-Caskets.pdf,Metal,Spectra Black,Silver,Crepe,20 Gauge NGS,256354,"$2,195",2/1/2022
Ponders,Batesville,https://www.pondersfuneralhome.com/fh_live/15500/15565/media/2022-Batesville-Metal-Caskets.pdf,Metal,Spectra Blue,Light Blue,Crepe,20 Gauge NGS,221506,"$2,195",2/1/2022
Ponders,Batesville,https://www.pondersfuneralhome.com/fh_live/15500/15565/media/2022-Batesville-Metal-Caskets.pdf,Metal,Spectra Orchid,Moss Pink,Crepe,20 Gauge NGS,258362,"$2,195",2/1/2022
Ponders,Batesville,https://www.pondersfuneralhome.com/fh_live/15500/15565/media/2022-Batesville-Metal-Caskets.pdf,Metal,Spectra Silver,Silver,Crepe,20 Gauge NGS,221507,"$2,195",2/1/2022
Ponders,Batesville,https://www.pondersfuneralhome.com/fh_live/15500/15565/media/2022-Batesville-Metal-Caskets.pdf,Metal,Spectra White,Ivo,Crepe,20 Gauge NGS,223045,"$2,195",2/1/2022
Nashville Funeral and Cremation,Nashville,www.nashvillefuneralandcremation.com,Wood,Apollo,n/a,Crepe,20 Gauge NGS,n/a,"$1,154",10/19/2022
Nashville Funeral and Cremation,Nashville,www.nashvillefuneralandcremation.com,Wood,Gemini,n/a,Crepe,20 Gauge NGS,n/a,"$1,494",10/19/2022
Nashville Funeral and Cremation,Nashville,www.nashvillefuneralandcremation.com,Wood,Spectra,n/a,Crepe,20 Gauge NGS,n/a,"$1,765",10/19/2022
Ponders,Batesville,https://www.pondersfuneralhome.com/fh_live/15500/15565/media/2022-Batesville-Metal-Caskets.pdf,Metal,Apollo White,Ivory,Crepe,20 Gauge Steel,245185,"$1,895",2/1/2022
Ponders,Batesville,https://www.pondersfuneralhome.com/fh_live/15500/15565/media/2022-Batesville-Metal-Caskets.pdf,Metal,Argo Black,Ivory,Crepe,20 Gauge Steel,278913,"$2,795",2/1/2022
Ponders,Batesville,https://www.pondersfuneralhome.com/fh_live/15500/15565/media/2022-Batesville-Metal-Caskets.pdf,Metal,Argo Orchid,Moss Pink,Crepe,20 Gauge Steel,278912,"$2,795",2/1/2022
Ponders,Batesville,https://www.pondersfuneralhome.com/fh_live/15500/15565/media/2022-Batesville-Metal-Caskets.pdf,Metal,Argo Sand,Rosetan,Crepe,20 Gauge Steel,278921,"$2,795",2/1/2022
Ponders,Batesville,https://www.pondersfuneralhome.com/fh_live/15500/15565/media/2022-Batesville-Metal-Caskets.pdf,Metal,Argo Silver,Ivory,Crepe,20 Gauge Steel,278920,"$2,795",2/1/2022
Ponders,Batesville,https://www.pondersfuneralhome.com/fh_live/15500/15565/media/2022-Batesville-Metal-Caskets.pdf,Metal,Hercules Black-32,Ivory,Crepe,20 Gauge Steel,265532,"$3,695",2/1/2022
Ponders,Batesville,https://www.pondersfuneralhome.com/fh_live/15500/15565/media/2022-Batesville-Metal-Caskets.pdf,Metal,Hercules Blue-32,Ivory ,Crepe,20 Gauge Steel,274283,"$3,695",2/1/2022
Ponders,Batesville,https://www.pondersfuneralhome.com/fh_live/15500/15565/media/2022-Batesville-Metal-Caskets.pdf,Metal,Hercules Orchid-32,Moss Pink,Crepe,20 Gauge Steel,265530,"$3,695",2/1/2022
Ponders,Batesville,https://www.pondersfuneralhome.com/fh_live/15500/15565/media/2022-Batesville-Metal-Caskets.pdf,Metal,Hercules Silver-32,Ivory,Crepe,20 Gauge Steel,265531,"$3,695",2/1/2022
Bradshaw Funeral Home,Batesville,www.bradshawfuneral.com,Metal,M39,Midnight,Crepe,20 Gauge Steel,n/a,"$3,480",10/25/2021
Bradshaw Funeral Home,Batesville,www.bradshawfuneral.com,Metal,M39,Revere Silver,Crepe,20 Gauge Steel,n/a,"$3,480",10/25/2021
Bradshaw Funeral Home,Batesville,www.bradshawfuneral.com,Metal,M39,Huntington Green,Velvet,20 Gauge Steel,n/a,"$3,480",10/25/2021
Ponders,Batesville,https://www.pondersfuneralhome.com/fh_live/15500/15565/media/2022-Batesville-Metal-Caskets.pdf,Metal,M39 Auburn,Champagne,Velvet,20 Gauge Steel,271815,"$3,295",2/1/2022
Ponders,Batesville,https://www.pondersfuneralhome.com/fh_live/15500/15565/media/2022-Batesville-Metal-Caskets.pdf,Metal,M39 Carnation,Ivory,Velvet,20 Gauge Steel,273920,"$3,295",2/1/2022
Ponders,Batesville,https://www.pondersfuneralhome.com/fh_live/15500/15565/media/2022-Batesville-Metal-Caskets.pdf,Metal,M39 Huntington Green,Champagne,Velvet,20 Gauge Steel,278177,"$3,295",2/1/2022
Ponders,Batesville,https://www.pondersfuneralhome.com/fh_live/15500/15565/media/2022-Batesville-Metal-Caskets.pdf,Metal,M39 Midnight,Ivory,Velvet,20 Gauge Steel,271817,"$3,295",2/1/2022
Ponders,Batesville,https://www.pondersfuneralhome.com/fh_live/15500/15565/media/2022-Batesville-Metal-Caskets.pdf,Metal,M39 Neapolitan Blue,Ivory,Velvet,20 Gauge Steel,271819,"$3,295",2/1/2022
Ponders,Batesville,https://www.pondersfuneralhome.com/fh_live/15500/15565/media/2022-Batesville-Metal-Caskets.pdf,Metal,M39 Revere Silver,Ivory,Velvet,20 Gauge Steel,271821,"$3,295",2/1/2022
Bradshaw Funeral Home,Batesville,www.bradshawfuneral.com,Metal,Midnight,Midnight,Velvet,20 Gauge Steel,SO1,"$3,825",10/15/2023
Bradshaw Funeral Home,Batesville,www.bradshawfuneral.com,Metal,NO1,Pearl,Crepe,20 Gauge Steel,n/a,"$3,755",10/25/2021
Bradshaw Funeral Home,Batesville,www.bradshawfuneral.com,Metal,NS,Triton Grey,Crepe,20 Gauge Steel,n/a,"$2,095",10/25/2021
Bradshaw Funeral Home,Batesville,www.bradshawfuneral.com,Metal,Ocean Blue,Ocean Blue,Crepe,20 Gauge Steel,SO1,"$3,750",10/15/2023
Ponders,Batesville,https://www.pondersfuneralhome.com/fh_live/15500/15565/media/2022-Batesville-Metal-Caskets.pdf,Metal,Pisces Sand,Rosetan,Crepe,20 Gauge Steel,257958,"$2,495",2/1/2022
Ponders,Batesville,https://www.pondersfuneralhome.com/fh_live/15500/15565/media/2022-Batesville-Metal-Caskets.pdf,Metal,Pisces Silver,Silver,Crepe,20 Gauge Steel,257956,"$2,495",2/1/2022
Ponders,Batesville,https://www.pondersfuneralhome.com/fh_live/15500/15565/media/2022-Batesville-Metal-Caskets.pdf,Metal,Pisces White,Ivory,Crepe,20 Gauge Steel,257953,"$2,495",2/1/2022
Ponders,Batesville,https://www.pondersfuneralhome.com/fh_live/15500/15565/media/2022-Batesville-Metal-Caskets.pdf,Metal,Q01 Heirloom Pewter,Rosetan,Crepe,20 Gauge Steel,242475,"$2,795",2/1/2022
Ponders,Batesville,https://www.pondersfuneralhome.com/fh_live/15500/15565/media/2022-Batesville-Metal-Caskets.pdf,Metal,Q01 Ivory,Ivory,Crepe,20 Gauge Steel,252031,"$2,795",2/1/2022
Ponders,Batesville,https://www.pondersfuneralhome.com/fh_live/15500/15565/media/2022-Batesville-Metal-Caskets.pdf,Metal,Q01 Sand,Rosetan,Crepe,20 Gauge Steel,242478,"$2,795",2/1/2022
Ponders,Batesville,https://www.pondersfuneralhome.com/fh_live/15500/15565/media/2022-Batesville-Metal-Caskets.pdf,Metal,Q88 Churchill Blue,Light Blue,Crepe,20 Gauge Steel,148030,"$2,795",2/1/2022
Ponders,Batesville,https://www.pondersfuneralhome.com/fh_live/15500/15565/media/2022-Batesville-Metal-Caskets.pdf,Metal,Q88 Misty Rose,Moss Pink,Crepe,20 Gauge Steel,148035,"$2,795",2/1/2022
Ponders,Batesville,https://www.pondersfuneralhome.com/fh_live/15500/15565/media/2022-Batesville-Metal-Caskets.pdf,Metal,Q88 Revere Silver,Silver,Crepe,20 Gauge Steel,148029,"$2,795",2/1/2022
Ponders,Batesville,https://www.pondersfuneralhome.com/fh_live/15500/15565/media/2022-Batesville-Metal-Caskets.pdf,Metal,Q88 Roman,Rosetan,Crepe,20 Gauge Steel,148031,"$2,795",2/1/2022
Bradshaw Funeral Home,Batesville,www.bradshawfuneral.com,Metal,QD3,Galaxy,Crepe,20 Gauge Steel,n/a,"$3,215",10/25/2021
Bradshaw Funeral Home,Batesville,www.bradshawfuneral.com,Metal,QO1,Sand,Crepe,20 Gauge Steel,n/a,"$3,240",10/25/2021
Bradshaw Funeral Home,Batesville,www.bradshawfuneral.com,Metal,QO2,Earth/Graytone,Crepe,20 Gauge Steel,n/a,"$2,695",10/25/2021
Bradshaw Funeral Home,Batesville,www.bradshawfuneral.com,Metal,Revere Silver,Revere Silver,Velvet,20 Gauge Steel,M39,"$3,825",10/15/2023
Ponders,Batesville,https://www.pondersfuneralhome.com/fh_live/15500/15565/media/2022-Batesville-Metal-Caskets.pdf,Metal,S01 Carnation Blush,Ivory,Woven,20 Gauge Steel,278485,"$2,795",2/1/2022
Ponders,Batesville,https://www.pondersfuneralhome.com/fh_live/15500/15565/media/2022-Batesville-Metal-Caskets.pdf,Metal,S01 Ocean Blue,Ivory,Crepe,20 Gauge Steel,252121,"$2,795",2/1/2022
Ponders,Batesville,https://www.pondersfuneralhome.com/fh_live/15500/15565/media/2022-Batesville-Metal-Caskets.pdf,Metal,S01 Sand,Rosetan,Crepe,20 Gauge Steel,242739,"$2,795",2/1/2022
Bradshaw Funeral Home,Batesville,www.bradshawfuneral.com,Metal,Sand,Sand,Crepe,20 Gauge Steel,QO1,"$3,525",10/15/2023
Bradshaw Funeral Home,Batesville,www.bradshawfuneral.com,Metal,SO1,Ocean Blue,Crepe,20 Gauge Steel,n/a,"$3,420",10/25/2021
Bradshaw Funeral Home,Batesville,www.bradshawfuneral.com,Metal,SO1,Carnation Blush,Crepe,20 Gauge Steel,n/a,"$3,150",10/25/2021
Nashville Funeral and Cremation,Nashville,www.nashvillefuneralandcremation.com,Wood,Argo,n/a,Crepe,20 Gauge Steel,n/a,"$2,331",10/19/2022
Nashville Funeral and Cremation,Nashville,www.nashvillefuneralandcremation.com,Wood,Aries,n/a,Crepe,20 Gauge Steel,n/a,"$2,331",10/19/2022
Nashville Funeral and Cremation,Nashville,www.nashvillefuneralandcremation.com,Wood,Pisces,n/a,Crepe,20 Gauge Steel,n/a,"$2,059",10/19/2022
McComas,Matthews,"McComas Family Funeral Homes | Abingdon, MD",Metal,COLEMAN,Rosetan,Crepe,20 Gauge Steel,71005890,"$2,175",1/7/2024
McComas,Matthews,"McComas Family Funeral Homes | Abingdon, MD",Metal,SPENCER,Moselle,Crepe,20 Gauge Steel,71005926,"$2,055",1/7/2024
Bradshaw Funeral Home,Batesville,www.bradshawfuneral.com,Metal,Z64,Classic Gold,Velvet,Bronze,n/a,"$16,445",10/25/2021
McComas,Matthews,"McComas Family Funeral Homes | Abingdon, MD",Metal,REGENCY GOLD,Arbutus,Velvet,Bronze,71006151,"$20,215",1/7/2024
Ponders,Batesville,https://www.pondersfuneralhome.com/fh_live/15500/15565/media/2022-Batesville-Wood-Caskets.pdf,Wood,Langdon Cherry,Champagne,Velvet,Cherry,148236,"$6,495",2/1/2022
Bradshaw Funeral Home,Batesville,www.bradshawfuneral.com,Wood,Pearson Cherry,n/a,Velvet,Cherry,n/a,"$5,630",10/25/2021
Bradshaw Funeral Home,Batesville,www.bradshawfuneral.com,Wood,Pembroke,n/a,Velvet,Cherry,n/a,"$8,615",10/25/2021
McComas,Matthews,"McComas Family Funeral Homes | Abingdon, MD",Wood,WARFIELD,Arbutus,Velvet,Cherry,71006839,"$7,275",1/7/2024
McComas,Matthews,"McComas Family Funeral Homes | Abingdon, MD",Wood,WARFIELD,Almond,Velvet,Cherry,71007163,"$7,275",1/7/2024
